Item #,Warehouse,Category,Manufacturer,Model,Grade,Capacity,Carrier,Color,Lock Status,Model Number,Parts Message,Increment Size,Quantity Available,List Price,Transaction Status,Transaction Quantity,Transaction Price,Expires,New Offer Quantity,New Offer Price
60392S,New York,PHONES,Apple,iPhone 12 Pro Max,PGL,128GB,GSM Unlocked,Silver,GSM Unlocked,A2342,,1,3,260,,,,,,
60392G,New York,PHONES,Apple,iPhone 12 Pro Max,PGL,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,23,260,,,,,,
60392BL,New York,PHONES,Apple,iPhone 12 Pro Max,PGL,128GB,GSM Unlocked,Blue,GSM Unlocked,A2342,,1,3,260,,,,,,
60392GUP,New York,PHONES,Apple,iPhone 12 Pro Max,PGL,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,Unknown Part Message,1,1,225,,,,,,
30109,New York,PHONES,Apple,iPhone 12 Pro Max,PID,128GB,GSM Unlocked,Mixed,GSM Unlocked,A2342,,1,1,225,,,,,,
64973,New York,PHONES,Apple,iPhone 12 Pro Max,PLB,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,6,250,,,,,,
64988,New York,PHONES,Apple,iPhone 12 Pro Max,PLB,128GB,GSM Unlocked,Blue,GSM Unlocked,A2342,,1,1,250,,,,,,
29304RC2,New York,PHONES,Apple,iPhone 12 Pro Max,RC2-Stock,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,2,325,,,,,,
30817,Battery Guarantee,PHONES,Apple,iPhone 12 Pro Max,B1-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,9,390,,,,,,
30817,New York,PHONES,Apple,iPhone 12 Pro Max,B1-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,34,365,,,,,,
30117,New York,PHONES,Apple,iPhone 12 Pro Max,C1-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,9,305,,,,,,
31929UP,New York,PHONES,Apple,iPhone 12 Pro Max,KFLB,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,Unknown Part Message,1,1,275,,,,,,
64930,New York,PHONES,Apple,iPhone 12 Pro Max,PCG,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,2,265,,,,,,
60455G,New York,PHONES,Apple,iPhone 12 Pro Max,PGL,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,3,290,,,,,,
30466,New York,PHONES,Apple,iPhone 12 Pro Max,PID,256GB,GSM Unlocked,Mixed,GSM Unlocked,A2342,,1,1,265,,,,,,
64981,New York,PHONES,Apple,iPhone 12 Pro Max,PLB,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,1,255,,,,,,
30817RC1,Battery Guarantee,PHONES,Apple,iPhone 12 Pro Max,RC1-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,1,400,,,,,,
30817RC1,New York,PHONES,Apple,iPhone 12 Pro Max,RC1-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,1,365,,,,,,
30814RC1,New York,PHONES,Apple,iPhone 12 Pro Max,RC1-Stock,256GB,GSM Unlocked,Blue,GSM Unlocked,A2342,,1,1,365,,,,,,
29292RC2,Battery Guarantee,PHONES,Apple,iPhone 12 Pro Max,RC2-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,2,385,,,,,,
29305RC2,New York,PHONES,Apple,iPhone 12 Pro Max,RC2-Stock,256GB,GSM Unlocked,Blue,GSM Unlocked,A2342,,1,1,345,,,,,,
29292RC2,New York,PHONES,Apple,iPhone 12 Pro Max,RC2-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,1,345,,,,,,
31405,New York,PHONES,Apple,iPhone 13,A1-Stock,128GB,GSM Unlocked,Green,GSM Unlocked,A2482,,1,1,340,,,,,,
31360,New York,PHONES,Apple,iPhone 13,A2-Stock,128GB,GSM Unlocked,Blue,GSM Unlocked,A2482,,1,2,330,,,,,,
40538,New York,PHONES,Apple,iPhone 13,A2-Stock,128GB,Other,Pink,Locked,A2482,,1,1,250,,,,,,
40429,New York,PHONES,Apple,iPhone 13,A2-Stock,128GB,Other,Black,Locked,A2482,,1,1,250,,,,,,
31364,New York,PHONES,Apple,iPhone 13,B1-Stock,128GB,GSM Unlocked,Pink,GSM Unlocked,A2482,,1,1,315,,,,,,
31359,New York,PHONES,Apple,iPhone 13,B1-Stock,128GB,GSM Unlocked,Blue,GSM Unlocked,A2482,,1,74,315,,,,,,
40537,New York,PHONES,Apple,iPhone 13,B1-Stock,128GB,Other,Pink,Locked,A2482,,1,6,235,,,,,,
40532,New York,PHONES,Apple,iPhone 13,B1-Stock,128GB,Other,Blue,Locked,A2482,,1,3,235,,,,,,
40428,New York,PHONES,Apple,iPhone 13,B1-Stock,128GB,Other,Black,Locked,A2482,,1,2,235,,,,,,
31408,New York,PHONES,Apple,iPhone 13,B2-Stock,128GB,GSM Unlocked,Green,GSM Unlocked,A2482,,1,3,295,,,,,,
40534,New York,PHONES,Apple,iPhone 13,B2-Stock,128GB,Other,Blue,Locked,A2482,,1,4,225,,,,,,
40539,New York,PHONES,Apple,iPhone 13,B2-Stock,128GB,Other,Pink,Locked,A2482,,1,5,225,,,,,,
40550,New York,PHONES,Apple,iPhone 13,B2-Stock,128GB,Other,Green,Locked,A2482,,1,1,225,,,,,,
40519,New York,PHONES,Apple,iPhone 13,B2-Stock,128GB,Other,Black,Locked,A2482,,1,2,225,,,,,,
31410,New York,PHONES,Apple,iPhone 13,KFCG,128GB,GSM Unlocked,Green,GSM Unlocked,A2482,,1,2,240,,,,,,
31415,New York,PHONES,Apple,iPhone 13,KFLB,128GB,GSM Unlocked,White,GSM Unlocked,A2482,,1,4,240,,,,,,
31404,New York,PHONES,Apple,iPhone 13,KFLB,128GB,GSM Unlocked,Blue,GSM Unlocked,A2482,,1,1,240,,,,,,
33514,New York,PHONES,Apple,iPhone 13,KFLB,128GB,GSM Unlocked,Pink,GSM Unlocked,A2482,,1,10,240,,,,,,
45920,New York,PHONES,Apple,iPhone 13,KFLB,128GB,GSM Unlocked,Black,GSM Unlocked,A2633,,1,1,240,,,,,,
60527PK,New York,PHONES,Apple,iPhone 13,PGL,128GB,T-Mobile,Pink,Locked,A2482,,1,1,175,,,,,,
60527BL,New York,PHONES,Apple,iPhone 13,PGL,128GB,T-Mobile,Blue,Locked,A2482,,1,3,175,,,,,,
66199,New York,PHONES,Apple,iPhone 13,PGL,128GB,Other,Pink,Locked,A2482,,1,2,175,,,,,,
66197,New York,PHONES,Apple,iPhone 13,PGL,128GB,Other,Blue,Locked,A2482,,1,2,175,,,,,,
31364RC1,New York,PHONES,Apple,iPhone 13,RC1-Stock,128GB,GSM Unlocked,Pink,GSM Unlocked,A2482,,1,1,305,,,,,,
31359RC1,New York,PHONES,Apple,iPhone 13,RC1-Stock,128GB,GSM Unlocked,Blue,GSM Unlocked,A2482,,1,1,305,,,,,,
